kind,qa_path,user,trial,action,unit_dir,f0,f1,nf,t0,t1,fps
train_hau,HAU/user1/1-1-1,user1,1-1-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-1",28.0,582.0,555.0,14039319.716,14039375.116,9.999999999932756
train_hau,HAU/user1/1-1-2,user1,1-1-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-2",29.0,555.0,527.0,14040022.816,14040075.416,10.000000000070823
train_hau,HAU/user1/1-1-3,user1,1-1-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-3",25.0,224.0,200.0,14040328.416,14040348.316,9.999999999812799
train_hau,HAU/user1/1-2-1,user1,1-2-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-2-1",29.0,265.0,237.0,14149682.816,14149706.416,10.00000000015785
train_hau,HAU/user1/1-2-2,user1,1-2-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-2-2",,,,,,
train_hau,HAU/user1/1-2-3,user1,1-2-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-2-3",19.0,155.0,137.0,,,
train_hau,HAU/user1/2-1-1,user1,2-1-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-1",17.0,535.0,519.0,,,
train_hau,HAU/user1/2-1-2,user1,2-1-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-2",28.0,343.0,316.0,14150439.716,14150471.216,10.0
train_hau,HAU/user1/2-1-3,user1,2-1-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-3",19.0,227.0,209.0,14150605.816,14150626.616,9.9999999996418
train_hau,HAU/user1/2-2-1,user1,2-2-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-1",20.0,241.0,222.0,14040883.916,14040906.016,9.99999999932574
train_hau,HAU/user1/2-2-2,user1,2-2-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-2",22.0,259.0,238.0,14041277.116,14041300.816,10.00000000031437
train_hau,HAU/user1/2-2-3,user1,2-2-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-3",24.0,164.0,141.0,14041539.316,14041553.316,10.0
train_hau,HAU/user1/3-1-1,user1,3-1-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-1",19.0,154.0,136.0,14150829.816,14150843.316,10.0
train_hau,HAU/user1/3-1-2,user1,3-1-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-2",24.0,170.0,147.0,14150905.316,14150919.916,10.000000000255158
train_hau,HAU/user1/3-1-3,user1,3-1-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-3",15.0,80.0,66.0,14150983.416,14150989.916,10.0
train_hau,HAU/user1/3-2-1,user1,3-2-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,600.0,14043275.416,14043335.316,9.999999999937808
train_hau,HAU/user1/3-2-2,user1,3-2-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,623.0,14043663.616,14043725.816,10.000000000119785
train_hau,HAU/user1/3-2-3,user1,3-2-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,412.0,14043946.316,14043987.416,10.00000000009064
train_hau,HAU/user1/4-1-1,user1,4-1-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,743.0,14048256.016,14048330.216,10.000000000100412
train_hau,HAU/user1/4-1-2,user1,4-1-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,608.0,14048560.716,14048621.416,10.000000000122744
train_hau,HAU/user1/4-1-3,user1,4-1-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,376.0,14048860.616,14048898.116,10.0
train_hau,HAU/user1/5-1-1,user1,5-1-1,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/5-1-1",16.0,437.0,422.0,14050098.516,14050140.616,10.000000000088487
train_hau,HAU/user1/5-1-2,user1,5-1-2,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/5-1-2",21.0,484.0,464.0,14050555.016,14050601.316,10.00000000024138
train_hau,HAU/user1/5-1-3,user1,5-1-3,,"/home/fluxx/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/5-1-3",18.0,355.0,338.0,14050831.716,14050865.416,10.000000000221085
