action,n_sessions,n_valid,spec_group_acc,n_disagreements,w_to_r,r_to_w,flip_precision,net,n_folds_with_disagreement
Sweeping,20,59,0.5932203389830508,29,5,23,0.17857142857142858,-18,5
Sitting down,49,143,0.5104895104895105,71,8,60,0.11764705882352941,-52,5
Taking a selfie,14,41,0.36585365853658536,26,2,22,0.08333333333333333,-20,5
Squats,26,77,0.5324675324675324,39,3,35,0.07894736842105263,-32,5
Jumping jacks,15,44,0.3409090909090909,30,2,28,0.06666666666666667,-26,5
Stirring,39,114,0.45614035087719296,64,4,57,0.06557377049180328,-53,5
Turning a page,20,59,0.423728813559322,33,2,29,0.06451612903225806,-27,4
Mopping,19,55,0.41818181818181815,34,2,30,0.0625,-28,5
Reading,24,71,0.28169014084507044,53,3,47,0.06,-44,5
Pouring,43,128,0.5390625,58,3,52,0.05454545454545454,-49,5
Eating,52,151,0.5827814569536424,60,3,54,0.05263157894736842,-51,5
Typing on a keyboard,29,84,0.2857142857142857,62,3,54,0.05263157894736842,-51,5
Playing games,14,40,0.475,21,1,19,0.05,-18,3
Walking,112,327,0.5382262996941896,151,7,134,0.04964539007092199,-127,5
Undressing,14,41,0.4878048780487805,22,1,21,0.045454545454545456,-20,4
Calling,15,43,0.4883720930232558,22,1,21,0.045454545454545456,-20,5
Peeling fruit,35,104,0.5384615384615384,49,2,43,0.044444444444444446,-41,5
Running,13,37,0.35135135135135137,25,1,24,0.04,-23,5
Combing hair,19,54,0.4444444444444444,28,1,25,0.038461538461538464,-24,5
Getting dressed,18,54,0.42592592592592593,31,1,26,0.037037037037037035,-25,5
Wiping hands,23,68,0.47058823529411764,35,1,32,0.030303030303030304,-31,5
Using a phone,16,47,0.1702127659574468,38,1,37,0.02631578947368421,-36,4
Stretching,29,85,0.4588235294117647,47,1,44,0.022222222222222223,-43,5
Drinking,40,119,0.5714285714285714,51,1,47,0.020833333333333332,-46,5
Grabbing utensils,32,93,0.43010752688172044,52,1,50,0.0196078431372549,-49,5
Checking the time,31,93,0.3010752688172043,63,1,58,0.01694915254237288,-57,5
Washing dishes,11,33,0.18181818181818182,27,0,27,0.0,-27,4
Washing face,15,44,0.38636363636363635,26,0,24,0.0,-24,5
Wiping surface,18,52,0.38461538461538464,32,0,30,0.0,-30,5
Brushing teeth,16,47,0.2127659574468085,36,0,30,0.0,-30,4
Taking medicine,23,68,0.4264705882352941,38,0,38,0.0,-38,5
Standing up,29,83,0.5421686746987951,38,0,38,0.0,-38,5
Massaging oneself,21,62,0.43548387096774194,34,0,34,0.0,-34,5
Lying down,11,33,0.42424242424242425,19,0,19,0.0,-19,5
Lunges,9,26,0.19230769230769232,21,0,19,0.0,-19,5
Listening to the music with headphones,25,73,0.3561643835616438,46,0,45,0.0,-45,5
Checking body temperature,19,55,0.43636363636363634,31,0,31,0.0,-31,5
Writing,14,38,0.39473684210526316,23,0,23,0.0,-23,5
