session,user,aa,bb,cc,action,harn_folder,manner_label,manner_group,parent_qa_path,parent_unit_dir,parent_f0,parent_f1,parent_t0,parent_t1,seg_f0,seg_f1,seg_t0,seg_t1,n_sibling_trials_with_action,evidence_source
user1|1|1,user1,1,1,1,Squats,29_Do_squats,Leisurely,SLOW,HAU/user1/1-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-1",28.0,582.0,14039319.716,14039375.116,532.0,581.0,14039370.116,14039375.016,3,harn_anchored
user1|1|1,user1,1,1,2,Squats,29_Do_squats,Calmly,SLOW,HAU/user1/1-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-2",29.0,555.0,14040022.816,14040075.416,500.0,553.0,14040069.916,14040075.216,3,harn_anchored
user1|1|1,user1,1,1,3,Squats,29_Do_squats,Hastily,FAST,HAU/user1/1-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-3",25.0,224.0,14040328.416,14040348.316,199.0,224.0,14040345.816,14040348.316,3,harn_anchored
user1|1|1,user1,1,1,1,Combing hair,2_Comb_hair,Leisurely,SLOW,HAU/user1/1-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-1",28.0,582.0,14039319.716,14039375.116,188.0,243.0,14039335.716,14039341.216,3,harn_anchored
user1|1|1,user1,1,1,2,Combing hair,2_Comb_hair,Calmly,SLOW,HAU/user1/1-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-2",29.0,555.0,14040022.816,14040075.416,227.0,279.0,14040042.616,14040047.816,3,harn_anchored
user1|1|1,user1,1,1,3,Combing hair,2_Comb_hair,Hastily,FAST,HAU/user1/1-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-3",25.0,224.0,14040328.416,14040348.316,95.0,110.0,14040335.416,14040336.916,3,harn_anchored
user1|1|1,user1,1,1,1,Jumping jacks,30_Do_jumping_jacks,Leisurely,SLOW,HAU/user1/1-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-1",28.0,582.0,14039319.716,14039375.116,475.0,526.0,14039364.416,14039369.516,3,harn_anchored
user1|1|1,user1,1,1,2,Jumping jacks,30_Do_jumping_jacks,Calmly,SLOW,HAU/user1/1-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-2",29.0,555.0,14040022.816,14040075.416,444.0,500.0,14040064.316,14040069.916,3,harn_anchored
user1|1|1,user1,1,1,3,Jumping jacks,30_Do_jumping_jacks,Hastily,FAST,HAU/user1/1-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-3",25.0,224.0,14040328.416,14040348.316,166.0,199.0,14040342.516,14040345.816,3,harn_anchored
user1|1|1,user1,1,1,1,Getting dressed,5_Put_on_clothes,Leisurely,SLOW,HAU/user1/1-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-1",28.0,582.0,14039319.716,14039375.116,289.0,413.0,14039345.816,14039358.216,3,harn_anchored
user1|1|1,user1,1,1,2,Getting dressed,5_Put_on_clothes,Calmly,SLOW,HAU/user1/1-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-2",29.0,555.0,14040022.816,14040075.416,324.0,376.0,14040052.316,14040057.516,3,harn_anchored
user1|1|1,user1,1,1,3,Getting dressed,5_Put_on_clothes,Hastily,FAST,HAU/user1/1-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/1-1-3",25.0,224.0,14040328.416,14040348.316,124.0,162.0,14040338.316,14040342.116,3,harn_anchored
user1|2|1,user1,2,1,2,Stirring,10_Stir_drinks,Neatly,CARE,HAU/user1/2-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-2",28.0,343.0,14150439.716,14150471.216,148.0,171.0,14150451.716,14150454.016,2,harn_anchored
