qa_id,fold,k,truth,base_pred,ext_pred,champ_pred,champ_ok,has_phase,base_ok,ext_ok
training_2724,0,3,D,D,D,D,True,True,True,True
training_2725,0,3,D,D,D,D,True,True,True,True
training_2726,0,3,D,D,D,D,True,True,True,True
training_2727,0,3,A,A,A,B,False,False,True,True
training_2728,0,3,A,A,D,B,False,False,True,False
training_2729,0,3,D,D,D,D,True,False,True,True
training_2730,0,3,A,A,A,A,True,False,True,True
training_2731,0,3,D,D,D,D,True,True,True,True
training_2732,0,3,C,C,C,C,True,True,True,True
training_2733,0,3,B,B,B,B,True,True,True,True
training_2734,0,3,C,C,C,C,True,True,True,True
training_2735,0,3,B,B,B,B,True,True,True,True
training_2736,0,3,C,C,C,C,True,True,True,True
training_2737,0,3,A,A,A,A,True,True,True,True
training_2738,0,3,B,B,B,B,True,True,True,True
training_2739,0,3,C,C,C,C,True,True,True,True
training_2740,0,3,A,A,A,A,True,True,True,True
training_2741,0,3,C,C,C,C,True,True,True,True
training_2742,0,3,C,C,C,C,True,True,True,True
training_2743,0,3,C,C,C,C,True,True,True,True
training_2744,0,3,B,B,B,B,True,True,True,True
training_2745,0,3,C,C,C,C,True,True,True,True
training_2746,0,3,A,A,A,A,True,True,True,True
training_2747,0,3,A,A,A,A,True,True,True,True
training_2748,0,3,B,B,B,C,False,True,True,True
training_2749,0,3,C,C,C,B,False,True,True,True
training_2750,0,3,A,A,A,A,True,True,True,True
training_2751,0,3,B,B,B,B,True,True,True,True
training_2752,0,3,A,A,A,A,True,True,True,True
training_2753,0,3,C,C,C,C,True,True,True,True
training_2754,0,3,C,C,C,C,True,True,True,True
training_2755,0,3,D,D,D,D,True,True,True,True
training_2756,0,3,D,D,D,D,True,True,True,True
training_2757,0,3,B,B,B,B,True,False,True,True
training_2758,0,3,B,B,B,B,True,False,True,True
training_2759,0,3,B,B,B,B,True,False,True,True
training_2760,0,3,C,C,C,C,True,True,True,True
training_2761,0,3,C,C,C,C,True,True,True,True
training_2762,0,3,C,C,C,C,True,True,True,True
training_2763,0,3,D,C,D,D,True,True,False,True
training_2764,0,3,B,D,B,B,True,True,False,True
training_2765,0,3,C,C,C,C,True,True,True,True
training_2766,0,3,C,C,C,C,True,True,True,True
training_2767,0,3,A,A,A,A,True,True,True,True
training_2768,0,3,A,A,A,A,True,True,True,True
training_2769,0,3,C,C,C,C,True,False,True,True
training_2770,0,3,C,C,C,C,True,True,True,True
training_2771,0,3,B,B,B,B,True,True,True,True
training_2772,0,2,D,A,A,A,False,True,False,False
training_2773,0,2,A,A,A,A,True,True,True,True
training_2774,0,3,A,A,A,A,True,True,True,True
training_2775,0,3,A,A,A,A,True,True,True,True
training_2776,0,3,B,B,B,B,True,True,True,True
training_2777,0,3,A,A,A,A,True,True,True,True
training_2778,0,3,D,D,D,D,True,True,True,True
training_2779,0,3,D,D,D,D,True,True,True,True
training_2780,0,3,B,B,B,B,True,True,True,True
training_2781,0,3,A,A,A,A,True,True,True,True
training_2782,0,3,B,B,B,B,True,True,True,True
training_2783,0,3,B,B,B,B,True,True,True,True
training_2784,0,3,B,B,B,B,True,True,True,True
training_2785,0,3,D,D,D,D,True,True,True,True
training_2786,0,3,A,A,A,A,True,True,True,True
training_2787,0,3,A,A,A,A,True,True,True,True
training_2788,0,3,C,C,C,C,True,True,True,True
training_2789,0,2,A,A,A,D,False,True,True,True
training_2790,0,2,A,A,A,A,True,True,True,True
training_2791,0,3,D,D,D,D,True,True,True,True
training_2792,0,3,B,B,B,B,True,True,True,True
training_2793,0,3,D,D,D,D,True,True,True,True
training_2794,0,3,D,D,D,D,True,True,True,True
training_2795,0,3,C,B,B,B,False,True,False,False
training_2796,0,3,D,A,A,A,False,True,False,False
training_2797,0,3,D,D,D,D,True,True,True,True
training_2798,0,3,B,B,B,B,True,True,True,True
training_2799,0,3,C,C,C,C,True,True,True,True
training_2914,0,3,D,D,D,D,True,True,True,True
training_2915,0,3,C,C,C,C,True,True,True,True
training_2916,0,3,A,A,A,A,True,True,True,True
training_2917,0,3,B,B,B,B,True,True,True,True
training_2918,0,3,D,D,D,D,True,True,True,True
training_2919,0,3,A,A,A,A,True,True,True,True
training_2920,0,3,D,D,D,D,True,True,True,True
training_2921,0,3,C,C,C,C,True,True,True,True
training_2922,0,3,C,C,C,C,True,True,True,True
training_2923,0,3,B,B,B,B,True,True,True,True
training_2924,0,3,B,B,B,B,True,True,True,True
training_2925,0,3,B,B,B,B,True,True,True,True
training_2926,0,3,C,C,C,C,True,True,True,True
training_2927,0,3,C,C,C,C,True,True,True,True
training_2928,0,3,C,C,C,C,True,True,True,True
training_2929,0,3,C,C,C,C,True,True,True,True
training_2930,0,3,B,B,B,B,True,True,True,True
training_2931,0,3,A,A,A,A,True,True,True,True
training_2932,0,3,A,A,A,A,True,True,True,True
training_2933,0,3,B,B,B,B,True,True,True,True
training_2934,0,3,A,A,A,A,True,True,True,True
training_2935,0,3,B,A,A,B,True,True,False,False
training_2936,0,3,B,C,C,B,True,True,False,False
training_2937,0,3,A,A,A,A,True,True,True,True
training_2938,0,3,A,A,A,A,True,True,True,True
training_2939,0,3,C,C,C,C,True,True,True,True
training_2940,0,3,C,C,C,C,True,True,True,True
training_2941,0,3,A,A,A,A,True,True,True,True
training_2942,0,3,D,D,D,D,True,True,True,True
training_2943,0,3,D,D,D,D,True,True,True,True
training_2944,0,3,D,D,D,D,True,True,True,True
training_2945,0,3,B,B,B,B,True,True,True,True
training_2946,0,3,A,A,A,A,True,True,True,True
training_2947,0,3,A,A,A,A,True,True,True,True
training_2948,0,3,C,C,C,C,True,True,True,True
training_2949,0,3,A,A,A,A,True,True,True,True
training_2950,0,3,A,A,A,A,True,True,True,True
training_2951,0,3,A,A,A,A,True,True,True,True
training_2952,0,3,A,A,A,A,True,True,True,True
training_2953,0,3,B,B,B,B,True,True,True,True
training_2954,0,3,C,C,C,C,True,True,True,True
training_2955,0,3,B,B,B,B,True,True,True,True
training_2956,0,3,B,B,B,B,True,True,True,True
training_2957,0,3,B,B,B,B,True,True,True,True
training_2958,0,3,C,C,C,C,True,True,True,True
training_2959,0,3,D,D,D,D,True,True,True,True
training_2960,0,3,B,B,B,B,True,True,True,True
training_2961,0,3,B,B,B,B,True,True,True,True
training_2962,0,3,D,D,D,D,True,True,True,True
training_2963,0,3,B,B,B,B,True,True,True,True
training_2964,0,3,A,A,A,A,True,True,True,True
training_3055,0,3,D,D,D,D,True,True,True,True
training_3056,0,3,D,D,D,D,True,True,True,True
training_3057,0,3,A,A,A,A,True,True,True,True
training_3058,0,3,A,A,A,A,True,True,True,True
training_3059,0,3,B,B,B,B,True,True,True,True
training_3060,0,3,B,B,B,B,True,True,True,True
training_3061,0,3,C,C,C,C,True,True,True,True
training_3062,0,3,A,A,A,A,True,True,True,True
training_3063,0,3,D,D,D,D,True,True,True,True
training_3064,0,3,D,D,D,D,True,True,True,True
training_3065,0,3,C,C,C,C,True,True,True,True
training_3066,0,3,B,B,B,B,True,True,True,True
training_3067,0,3,D,D,D,D,True,True,True,True
training_3068,0,3,A,A,A,A,True,True,True,True
training_3069,0,3,D,D,D,D,True,True,True,True
training_3070,0,3,C,C,C,C,True,True,True,True
training_3071,0,3,B,B,B,B,True,True,True,True
training_3072,0,3,C,C,C,C,True,True,True,True
training_3073,0,3,A,A,A,A,True,True,True,True
training_3074,0,3,B,B,B,B,True,True,True,True
training_3075,0,3,C,C,C,C,True,True,True,True
training_3076,0,3,B,B,B,B,True,True,True,True
training_3077,0,3,A,A,A,A,True,True,True,True
training_3078,0,3,A,A,A,A,True,True,True,True
training_3079,0,3,B,B,B,B,True,True,True,True
training_3080,0,3,D,D,D,D,True,True,True,True
training_3081,0,3,C,C,C,C,True,True,True,True
training_3082,0,3,B,B,B,B,True,True,True,True
training_3083,0,3,B,B,B,B,True,True,True,True
training_3084,0,3,C,C,C,C,True,True,True,True
training_3085,0,3,B,B,B,B,True,True,True,True
training_3086,0,3,C,C,C,C,True,True,True,True
training_3087,0,3,D,D,D,D,True,True,True,True
training_3088,0,3,C,C,C,C,True,True,True,True
training_3089,0,3,A,A,A,A,True,True,True,True
training_3090,0,3,D,D,D,D,True,True,True,True
training_3091,0,3,C,C,C,C,True,True,True,True
training_3092,0,3,A,A,A,A,True,True,True,True
training_3093,0,3,B,B,B,B,True,True,True,True
training_3094,0,3,C,C,C,C,True,True,True,True
training_3095,0,3,C,C,C,C,True,True,True,True
training_3096,0,3,A,A,A,A,True,True,True,True
training_3097,0,3,A,B,B,A,True,True,False,False
training_3098,0,3,A,A,A,A,True,True,True,True
training_3099,0,3,C,A,A,C,True,True,False,False
training_3100,0,3,A,A,A,A,True,True,True,True
training_3101,0,3,A,A,A,A,True,True,True,True
training_3102,0,3,B,B,B,B,True,True,True,True
