action,group,emotion_rows,errors,accuracy,median_duration_s,median_raw_speed
Brushing teeth,CARE,13,2,0.8461538461538461,15.899999998509884,0.3151222899575914
Brushing teeth,FAST,12,3,0.75,9.249999999068677,0.4122136857496616
Brushing teeth,NERV,3,0,1.0,21.899999998509884,0.5840317430434762
Brushing teeth,NEUT,5,2,0.6,15.300000000745058,0.353448762041281
Brushing teeth,SLOW,17,2,0.8823529411764706,16.800000000745058,0.3766422348509271
Calling,CARE,5,0,1.0,28.0,0.17752697063526668
Calling,FAST,8,0,1.0,18.799999999813735,0.2840994832133408
Calling,NERV,8,1,0.875,19.15000000037253,0.21408504025080105
Calling,NEUT,4,0,1.0,27.250000001862645,0.24022759064997815
Calling,SLOW,23,5,0.782608695652174,28.299999998882413,0.16062452321750822
Checking body temperature,CARE,8,0,1.0,26.500000001862645,0.20209097024471112
Checking body temperature,FAST,14,0,1.0,15.80000000167638,0.3221929185048502
Checking body temperature,NERV,6,0,1.0,11.300000000745058,0.37619539398265717
Checking body temperature,NEUT,7,0,1.0,25.199999999254942,0.26771585676535936
Checking body temperature,SLOW,25,2,0.92,17.299999997019768,0.2357660966430093
Checking the time,CARE,14,4,0.7142857142857143,18.050000000745058,0.24928334624567358
Checking the time,FAST,27,1,0.9629629629629629,15.0,0.3509679415137792
Checking the time,NERV,13,0,1.0,13.849999999627471,0.30540832467027634
Checking the time,NEUT,22,3,0.8636363636363636,26.399999999441206,0.23919342847818298
Checking the time,SLOW,43,5,0.8837209302325582,22.299999997019768,0.2357660966430093
Combing hair,CARE,14,1,0.9285714285714286,17.200000000186265,0.3225724766162027
Combing hair,FAST,14,3,0.7857142857142857,10.599999999627471,0.43477804096657857
Combing hair,NERV,5,0,1.0,21.300000000745058,0.3338890240303898
Combing hair,NEUT,4,2,0.5,17.050000000745058,0.34903567754020887
Combing hair,SLOW,20,2,0.9,25.799999999813735,0.293559124381235
Drinking,CARE,15,2,0.8666666666666667,33.5,0.14646219413734243
Drinking,FAST,39,5,0.8717948717948718,18.199999999254942,0.3448707518014501
Drinking,NERV,6,0,1.0,10.399999999441206,0.2087518262577711
Drinking,NEUT,26,1,0.9615384615384616,31.0,0.22798133304263998
Drinking,SLOW,45,4,0.9111111111111111,26.5,0.2182897608250375
Eating,CARE,21,3,0.8571428571428571,23.59999999962747,0.1704002524619984
Eating,FAST,54,6,0.8888888888888888,13.5,0.3975759550210677
Eating,NERV,5,1,0.8,9.399999998509884,0.33818171991408236
Eating,NEUT,31,3,0.9032258064516129,20.200000001117587,0.2837940136858042
Eating,SLOW,56,7,0.875,21.09999999962747,0.25878963875546585
Folding clothes,CARE,3,0,1.0,28.300000000745058,0.24928334624567358
Folding clothes,FAST,6,0,1.0,8.700000001117587,0.48283736349313766
Folding clothes,NERV,2,0,1.0,17.449999999254942,0.28666787303918784
Folding clothes,NEUT,4,0,1.0,15.999999999068677,0.3493296268210214
Folding clothes,SLOW,9,0,1.0,19.65000000037253,0.35848775192113674
Getting dressed,CARE,4,0,1.0,22.450000000186265,0.6222482926662232
Getting dressed,FAST,15,2,0.8666666666666667,15.0,0.5405791842521103
Getting dressed,NERV,4,0,1.0,21.899999998509884,0.5840317430434762
