action,emotion_rows,errors,accuracy,n_labels,n_groups,common_true_labels
Walking,408,44,0.8921568627450981,52,5,Hurriedly (36); Slowly (35); Steadily (32); Quickly (25); Calmly (23)
Sitting down,207,29,0.8599033816425121,38,5,Steadily (16); Hurriedly (16); Calmly (15); Slowly (14); Leisurely (14)
Eating,167,20,0.8802395209580839,37,5,Slowly (24); Hurriedly (19); Steadily (17); Quickly (13); Calmly (12)
Peeling fruit,134,19,0.8582089552238806,34,5,Slowly (17); Hurriedly (16); Quickly (10); Hastily (7); Patiently (7)
Reading,92,17,0.8152173913043478,28,5,Leisurely (13); Anxiously (8); Hurriedly (6); Calmly (6); Steadily (6)
Pouring,133,15,0.8872180451127819,31,5,Hurriedly (15); Slowly (13); Leisurely (10); Calmly (9); Quickly (8)
Grabbing utensils,138,13,0.9057971014492754,33,5,Calmly (16); Hurriedly (12); Steadily (11); Leisurely (11); Slowly (10)
Stirring,124,13,0.8951612903225806,30,5,Leisurely (12); Slowly (12); Hurriedly (11); Steadily (9); Quickly (7)
Checking the time,119,13,0.8907563025210085,30,5,Leisurely (12); Calmly (11); Anxiously (10); Hurriedly (9); Steadily (8)
Drinking,131,12,0.9083969465648855,34,5,Slowly (14); Steadily (12); Hurriedly (11); Leisurely (9); Calmly (8)
Turning a page,68,11,0.8382352941176471,24,5,Leisurely (7); Anxiously (6); Calmly (6); Gently (5); Rapidly (4)
Taking a selfie,42,10,0.7619047619047619,19,5,Calmly (5); Steadily (4); Leisurely (4); Gracefully (4); Nervously (3)
Listening to the music with headphones,101,9,0.9108910891089109,30,5,Leisurely (9); Calmly (8); Gently (7); Anxiously (7); Attentively (7)
Typing on a keyboard,92,9,0.9021739130434783,26,5,Leisurely (13); Anxiously (10); Steadily (6); Hurriedly (6); Gently (6)
Brushing teeth,50,9,0.82,21,5,Meticulously (5); Unhurriedly (5); Calmly (4); Hurriedly (4); Steadily (4)
Standing up,119,8,0.9327731092436975,30,5,Leisurely (11); Slowly (10); Calmly (10); Hurriedly (9); Steadily (8)
Sweeping,63,8,0.873015873015873,24,4,Orderly (8); Slowly (7); Quickly (6); Leisurely (4); Frantically (4)
Combing hair,57,8,0.8596491228070176,22,5,Hastily (6); Slowly (6); Calmly (5); Anxiously (4); Meticulously (4)
Getting dressed,57,8,0.8596491228070176,18,5,Slowly (9); Calmly (8); Steadily (6); Rapidly (6); Leisurely (4)
Wiping hands,77,7,0.9090909090909091,25,5,Slowly (11); Quickly (6); Unhurriedly (6); Hastily (5); Hurriedly (5)
Mopping,60,6,0.9,23,4,Slowly (7); Quickly (6); Meticulously (4); Hurriedly (4); Orderly (4)
Calling,48,6,0.875,21,5,Calmly (7); Leisurely (5); Anxiously (5); Nervously (3); Attentively (3)
Using a phone,56,5,0.9107142857142857,24,5,Hurriedly (6); Impatiently (5); Leisurely (4); Calmly (4); Steadily (4)
Playing games,44,5,0.8863636363636364,19,5,Calmly (8); Anxiously (5); Hastily (3); Casually (3); Steadily (3)
Washing face,41,5,0.8780487804878049,19,5,Hurriedly (5); Slowly (4); Calmly (4); Steadily (3); Meticulously (3)
Wiping surface,56,4,0.9285714285714286,19,4,Quickly (7); Meticulously (7); Steadily (6); Slowly (4); Gently (4)
Undressing,45,4,0.9111111111111111,14,5,Slowly (9); Calmly (8); Anxiously (5); Leisurely (3); Impatiently (3)
Stretching,89,3,0.9662921348314607,27,5,Leisurely (8); Steadily (8); Slowly (7); Gently (6); Quickly (6)
Massaging oneself,78,3,0.9615384615384616,26,5,Slowly (10); Steadily (9); Calmly (7); Hurriedly (7); Quickly (5)
Taking medicine,75,3,0.96,23,5,Calmly (12); Slowly (9); Anxiously (6); Hurriedly (6); Steadily (6)
Jumping jacks,44,3,0.9318181818181818,18,5,Steadily (10); Quickly (5); Leisurely (4); Slowly (4); Gently (3)
Running,41,3,0.926829268292683,18,5,Anxiously (5); Gently (5); Leisurely (4); Smoothly (3); Steadily (3)
Watching TV,15,3,0.8,12,5,Slowly (2); Attentively (2); Impatiently (2); Gently (1); Steadily (1)
Squats,78,2,0.9743589743589743,27,5,Steadily (12); Leisurely (8); Hurriedly (7); Slowly (6); Calmly (4)
Checking body temperature,60,2,0.9666666666666667,21,5,Calmly (11); Leisurely (5); Slowly (5); Steadily (5); Hurriedly (4)
Writing,47,2,0.9574468085106383,22,5,Leisurely (5); Gently (5); Calmly (4); Attentively (3); Anxiously (3)
Washing dishes,36,2,0.9444444444444444,18,5,Steadily (4); Slowly (3); Quickly (3); Patiently (3); Evenly (3)
Lunges,26,2,0.9230769230769231,16,5,Steadily (3); Peacefully (3); Slowly (2); Leisurely (2); Quickly (2)
Lying down,42,0,1.0,14,5,Steadily (6); Slowly (6); Hastily (5); Leisurely (5); Calmly (4)
Folding clothes,24,0,1.0,13,5,Hastily (5); Slowly (3); Naturally (2); Relaxedly (2); Attentively (2)
