feature,group,n,median_within_session_rank,mean_within_session_rank,mean_within_session_z
duration_s,SLOW,279,1.0,0.8082437275985663,0.7782997078754681
duration_s,CARE,117,0.5,0.6794871794871795,0.44973510121646765
duration_s,NEUT,126,0.5,0.6468253968253969,0.35021538273811353
duration_s,NERV,55,0.0,0.02727272727272727,-1.173753598810419
duration_s,FAST,218,0.0,0.04357798165137615,-1.1437399799541816
sk_v_mean,SLOW,279,0.0,0.28136200716845877,-0.55765163099707
sk_v_mean,CARE,117,0.5,0.36752136752136755,-0.34427959870375824
sk_v_mean,NEUT,126,0.5,0.3333333333333333,-0.4525615104966386
sk_v_mean,NERV,55,1.0,0.8090909090909091,0.851265906810828
sk_v_mean,FAST,218,1.0,0.8692660550458715,0.9452690070848769
sk_v_p90,SLOW,279,0.0,0.3046594982078853,-0.4783683411101053
sk_v_p90,CARE,117,0.5,0.38461538461538464,-0.3235694522547158
sk_v_p90,NEUT,126,0.5,0.3968253968253968,-0.3638386109617184
sk_v_p90,NERV,55,1.0,0.7727272727272727,0.7633946209301593
sk_v_p90,FAST,218,1.0,0.8027522935779816,0.8035750179520152
sk_vmax_mean,SLOW,279,0.0,0.2849462365591398,-0.5357528214181051
sk_vmax_mean,CARE,117,0.5,0.405982905982906,-0.26621568128138595
sk_vmax_mean,NEUT,126,0.5,0.3373015873015873,-0.44846814718704786
sk_vmax_mean,NERV,55,1.0,0.8272727272727273,0.8709940543907699
sk_vmax_mean,FAST,218,1.0,0.8371559633027523,0.8680026855029778
sk_a_mean,SLOW,279,0.0,0.3010752688172043,-0.5247005735373363
sk_a_mean,CARE,117,0.5,0.358974358974359,-0.3448273840631665
sk_a_mean,NEUT,126,0.5,0.3253968253968254,-0.43919271663988463
sk_a_mean,NERV,55,1.0,0.8272727272727273,0.830315128585923
sk_a_mean,FAST,218,1.0,0.8486238532110092,0.9009505237463624
sk_jerk_mean,SLOW,279,0.0,0.31362007168458783,-0.47070507664295025
sk_jerk_mean,CARE,117,0.5,0.3418803418803419,-0.3641288222961567
sk_jerk_mean,NEUT,126,0.5,0.3492063492063492,-0.39846812320099556
sk_jerk_mean,NERV,55,1.0,0.8181818181818182,0.7773719945972822
sk_jerk_mean,FAST,218,1.0,0.8302752293577982,0.8320243688647172
sk_vwrist_mean,SLOW,279,0.0,0.27419354838709675,-0.5637658008093883
sk_vwrist_mean,CARE,117,0.5,0.3803418803418803,-0.3343006379070499
sk_vwrist_mean,NEUT,126,0.5,0.34523809523809523,-0.41756804428153393
sk_vwrist_mean,NERV,55,1.0,0.8363636363636363,0.8665530422388108
sk_vwrist_mean,FAST,218,1.0,0.8577981651376146,0.9236559142994628
sk_vankle_mean,SLOW,279,0.0,0.26881720430107525,-0.5914001937372858
sk_vankle_mean,CARE,117,0.5,0.3504273504273504,-0.3625525331477528
sk_vankle_mean,NEUT,126,0.5,0.36507936507936506,-0.39664053632862606
sk_vankle_mean,NERV,55,1.0,0.8363636363636363,0.9012559766505488
sk_vankle_mean,FAST,218,1.0,0.8692660550458715,0.9533345380395253
sk_hip_path,SLOW,279,0.5,0.6182795698924731,0.3283048933092783
sk_hip_path,CARE,117,0.5,0.5726495726495726,0.20013212580359327
sk_hip_path,NEUT,126,0.5,0.5476190476190477,0.06023037879931483
sk_hip_path,NERV,55,0.0,0.34545454545454546,-0.4378918177909496
sk_hip_path,FAST,218,0.0,0.3211009174311927,-0.4519151454244059
sk_cad_hz,SLOW,279,0.0,0.3431899641577061,-0.357761205850706
sk_cad_hz,CARE,117,0.5,0.43162393162393164,-0.2087827584128157
sk_cad_hz,NEUT,126,0.5,0.4087301587301587,-0.24090405246135238
sk_cad_hz,NERV,55,1.0,0.6772727272727272,0.44808883074802464
sk_cad_hz,FAST,218,1.0,0.7454128440366973,0.596110018741447
sk_cad_pow,SLOW,279,0.0,0.3154121863799283,-0.4824136863702393
sk_cad_pow,CARE,117,0.5,0.38461538461538464,-0.3098400419505106
sk_cad_pow,NEUT,126,0.5,0.44841269841269843,-0.12883071040663047
sk_cad_pow,NERV,55,1.0,0.7909090909090909,0.7669047180668667
sk_cad_pow,FAST,218,1.0,0.7545871559633027,0.6646679514819461
sk_spec_cent,SLOW,279,0.5,0.4838709677419355,-0.03443702396812462
sk_spec_cent,CARE,117,0.5,0.5042735042735043,-0.002934148689256825
sk_spec_cent,NEUT,126,0.5,0.4444444444444444,-0.11368670365591635
sk_spec_cent,NERV,55,0.5,0.5454545454545454,0.10245067241871689
sk_spec_cent,FAST,218,0.5,0.5389908256880734,0.08550900349250161
sk_v_iqr,SLOW,279,0.0,0.3010752688172043,-0.5335572473843995
sk_v_iqr,CARE,117,0.5,0.3974358974358974,-0.239823627862815
sk_v_iqr,NEUT,126,0.5,0.3492063492063492,-0.3992478867662167
sk_v_iqr,NERV,55,1.0,0.8272727272727273,0.8519640030061754
sk_v_iqr,FAST,218,1.0,0.8142201834862385,0.8273809635201852
imu_acc_std,SLOW,278,0.0,0.1960431654676259,-0.7465406031158646
imu_acc_std,CARE,118,0.5,0.3220338983050847,-0.5429568331903415
imu_acc_std,NEUT,122,0.5,0.3442622950819672,-0.49030499345511563
imu_acc_std,NERV,53,1.0,0.9716981132075472,1.2460791040006567
imu_acc_std,FAST,215,1.0,0.9627906976744186,1.2343358635914414
imu_dacc_mean,SLOW,278,0.0,0.1906474820143885,-0.7510352584696597
imu_dacc_mean,CARE,118,0.5,0.3135593220338983,-0.5690318510866909
imu_dacc_mean,NEUT,121,0.5,0.34710743801652894,-0.49147791473793984
imu_dacc_mean,NERV,53,1.0,0.9811320754716981,1.2758355162665407
imu_dacc_mean,FAST,215,1.0,0.9697674418604652,1.2455028167626003
imu_acc_energy,SLOW,278,0.0,0.1960431654676259,-0.7381812285680383
imu_acc_energy,CARE,118,0.5,0.3220338983050847,-0.5683124237735169
imu_acc_energy,NEUT,122,0.5,0.3442622950819672,-0.5226514190765799
imu_acc_energy,NERV,53,1.0,0.9716981132075472,1.266595318098944
imu_acc_energy,FAST,215,1.0,0.9627906976744186,1.2507403200711087
imu_gyr_mean,SLOW,278,0.0,0.17446043165467626,-0.7760204263837384
imu_gyr_mean,CARE,118,0.5,0.3220338983050847,-0.5629748295044837
imu_gyr_mean,NEUT,122,0.5,0.38114754098360654,-0.43013986458797
imu_gyr_mean,NERV,53,1.0,0.9811320754716981,1.277036944380186
imu_gyr_mean,FAST,215,1.0,0.9674418604651163,1.241668901599027
imu_gyr_energy,SLOW,278,0.0,0.18525179856115107,-0.7493719810151812
imu_gyr_energy,CARE,118,0.5,0.3347457627118644,-0.5401707765574091
imu_gyr_energy,NEUT,122,0.5,0.3729508196721312,-0.4654898443296119
imu_gyr_energy,NERV,53,1.0,0.9528301886792453,1.2439669429846767
imu_gyr_energy,FAST,215,1.0,0.958139534883721,1.2229073273768347
rad_v_mean,SLOW,280,0.0,0.29285714285714287,-0.5095410689612807
rad_v_mean,CARE,118,0.5,0.3983050847457627,-0.32820616860547464
rad_v_mean,NEUT,126,0.5,0.4126984126984127,-0.2278435862326802
rad_v_mean,NERV,53,1.0,0.7735849056603774,0.7136831590283916
rad_v_mean,FAST,216,1.0,0.8078703703703703,0.7976060724139704
rad_v_p90,SLOW,280,0.5,0.375,-0.3306849295034751
rad_v_p90,CARE,118,0.5,0.4173728813559322,-0.22435973103247206
rad_v_p90,NEUT,126,0.5,0.4246031746031746,-0.20248303545494276
rad_v_p90,NERV,53,0.5,0.6273584905660378,0.3509673174513178
rad_v_p90,FAST,216,0.75,0.7199074074074074,0.5832306628018874
dino_v_mean,SLOW,285,0.0,0.2649122807017544,-0.5853080225589127
dino_v_mean,CARE,121,0.5,0.34297520661157027,-0.4114040979275015
dino_v_mean,NEUT,126,0.5,0.4087301587301587,-0.3180553446817115
dino_v_mean,NERV,56,1.0,0.8482142857142857,0.9266276020782469
dino_v_mean,FAST,221,1.0,0.8529411764705882,0.9265905429503691
dino_v_p90,SLOW,285,0.0,0.2807017543859649,-0.5389987987861705
dino_v_p90,CARE,121,0.5,0.3677685950413223,-0.36661600058065996
dino_v_p90,NEUT,126,0.5,0.38492063492063494,-0.27497740719143515
dino_v_p90,NERV,56,1.0,0.8303571428571429,0.8216930767259628
dino_v_p90,FAST,221,1.0,0.8371040723981901,0.8443779852207483
dino_acc_mean,SLOW,285,0.5,0.3508771929824561,-0.39011676906056386
dino_acc_mean,CARE,121,0.5,0.4297520661157025,-0.1938633066146571
dino_acc_mean,NEUT,126,0.5,0.4087301587301587,-0.21456939894871263
dino_acc_mean,NERV,56,1.0,0.7410714285714286,0.6305557286117652
dino_acc_mean,FAST,221,1.0,0.7217194570135747,0.571788971710014
dino_cos_mean,SLOW,285,1.0,0.7350877192982456,0.5835149103698344
dino_cos_mean,CARE,121,0.5,0.6570247933884298,0.42844555663503675
dino_cos_mean,NEUT,126,0.5,0.6031746031746031,0.31605019511979204
dino_cos_mean,NERV,56,0.0,0.15178571428571427,-0.9289287795672018
dino_cos_mean,FAST,221,0.0,0.14027149321266968,-0.9318822386315583
dino_v_iqr,SLOW,285,0.5,0.3526315789473684,-0.4067863299051299
dino_v_iqr,CARE,121,0.5,0.41735537190082644,-0.19586233154052687
dino_v_iqr,NEUT,126,0.5,0.43253968253968256,-0.1331080429598368
dino_v_iqr,NERV,56,1.0,0.6964285714285714,0.5402831412845256
dino_v_iqr,FAST,221,1.0,0.7239819004524887,0.5708108762007769
dino_path,SLOW,285,1.0,0.7982456140350878,0.7541443973181512
dino_path,CARE,121,0.5,0.6818181818181818,0.44132166291286395
dino_path,NEUT,126,0.5,0.6468253968253969,0.3272157346696564
dino_path,NERV,56,0.0,0.044642857142857144,-1.13284454010244
dino_path,FAST,221,0.0,0.04751131221719457,-1.113669514799863
dino_straight,SLOW,285,0.0,0.23333333333333334,-0.6803247693007937
dino_straight,CARE,121,0.5,0.33884297520661155,-0.481831397464778
dino_straight,NEUT,126,0.5,0.39285714285714285,-0.2729657101740267
dino_straight,NERV,56,1.0,0.8482142857142857,0.9176354999274979
dino_straight,FAST,221,1.0,0.9049773755656109,1.0642545241174293
dino_cad_hz,SLOW,285,0.5,0.36666666666666664,-0.3306295911432796
dino_cad_hz,CARE,121,0.5,0.39669421487603307,-0.24543675776842513
dino_cad_hz,NEUT,126,0.5,0.4246031746031746,-0.16357218965355438
dino_cad_hz,NERV,56,1.0,0.7053571428571429,0.49261205292749455
dino_cad_hz,FAST,221,1.0,0.7194570135746606,0.529190507231775
dino_cad_pow,SLOW,285,0.0,0.2964912280701754,-0.5032197290443875
dino_cad_pow,CARE,121,0.5,0.34297520661157027,-0.4843333652945557
dino_cad_pow,NEUT,126,0.5,0.4166666666666667,-0.21818474299220034
dino_cad_pow,NERV,56,1.0,0.8392857142857143,0.887332406180216
dino_cad_pow,FAST,221,1.0,0.8099547511312217,0.813677026467045
dino_spec_cent,SLOW,285,0.5,0.512280701754386,0.003990207918617721
dino_spec_cent,CARE,121,0.5,0.49173553719008267,0.03580589977598968
dino_spec_cent,NEUT,126,0.5,0.4722222222222222,-0.025409823686005452
dino_spec_cent,NERV,56,0.5,0.5535714285714286,0.09172837371256692
dino_spec_cent,FAST,221,0.5,0.49095022624434387,-0.03350621843062482
raw_duration_s,SLOW,279,1.0,0.8082437275985663,0.7782997078754681
raw_duration_s,CARE,117,0.5,0.6794871794871795,0.4497351012164674
raw_duration_s,NEUT,126,0.5,0.6468253968253969,0.3502153827381136
raw_duration_s,NERV,55,0.0,0.02727272727272727,-1.173753598810419
