label,group,n
Attentively,CARE,18
Carefully,CARE,21
Cautiously,CARE,5
Deliberately,CARE,2
Diligently,CARE,1
Earnestly,CARE,1
Intently,CARE,10
Methodically,CARE,3
Meticulously,CARE,16
Neatly,CARE,9
Orderly,CARE,19
Precisely,CARE,3
Seriously,CARE,8
Thoroughly,CARE,5
Briskly,FAST,13
Eagerly,FAST,1
Forcefully,FAST,2
Frantically,FAST,11
Hasitly,FAST,2
Hastily,FAST,35
Hurriedly,FAST,52
Impatiently,FAST,9
Quickly,FAST,53
Rapidly,FAST,24
Swiftly,FAST,3
Urgently,FAST,15
quickly,FAST,1
Anxiously,NERV,31
Nervously,NERV,13
Restlessly,NERV,4
Tensely,NERV,6
Tensly,NERV,2
Casually,NEUT,11
Confidently,NEUT,1
Evenly,NEUT,11
Firmly,NEUT,1
Gracefully,NEUT,14
Joyfully,NEUT,1
Naturally,NEUT,9
Smoothly,NEUT,18
Steadily,NEUT,60
Absentmindedly,SLOW,2
Calmly,SLOW,59
Contently,SLOW,3
Gently,SLOW,35
Lazily,SLOW,6
Leisurely,SLOW,53
Lightly,SLOW,2
Patiently,SLOW,11
Peacefully,SLOW,9
Quietly,SLOW,9
Relaxedly,SLOW,7
Slowly,SLOW,70
Softly,SLOW,6
Soothingly,SLOW,2
Unhurriedly,SLOW,11
