user,aa,bb,label_a,label_b,qa_a,qa_b
user1,6,1,Evenly,Slowly,training_2748,training_2749
user2,7,2,Hurriedly,quickly,training_2795,training_2796
user3,5,2,Anxiously,Calmly,training_2825,training_2826
user3,6,2,Carefully,Meticulously,training_2830,training_2831
user4,2,2,Diligently,Rapidly,training_2846,training_2847
user4,5,1,Calmly,Leisurely,training_2857,training_2858
user4,5,2,Leisurely,Steadily,training_2860,training_2861
user5,3,1,Intently,Slowly,training_2881,training_2882
user5,3,2,Hurriedly,Swiftly,training_2885,training_2886
user7,1,1,Rapidly,Steadily,training_2966,training_2967
user8,1,2,Contently,Lazily,training_3016,training_3018
user8,7,1,Calmly,Slowly,training_3049,training_3050
user9,7,2,Forcefully,Steadily,training_3107,training_3108
user16,3,3,Carefully,Meticulously,training_3130,training_3131
user16,7,3,Carefully,Peacefully,training_3157,training_3158
user17,1,1,Rapidly,Steadily,training_3161,training_3162
user17,1,2,Calmly,Gracefully,training_3163,training_3165
user18,1,2,Contently,Lazily,training_3211,training_3213
user19,6,1,Attentively,Leisurely,training_3292,training_3294
user20,5,1,Frantically,Smoothly,training_3328,training_3329
user20,6,1,Lightly,Steadily,training_3331,training_3333
user20,7,2,Nervously,Steadily,training_3344,training_3345
user21,4,2,Earnestly,Quickly,training_3368,training_3369
user21,5,2,Confidently,Hurriedly,training_3374,training_3375
user22,4,1,Anxiously,Leisurely,training_3407,training_3409
user23,6,1,Evenly,Tensely,training_3476,training_3477
user24,1,1,Calmly,Carefully,training_3490,training_3491
user24,4,2,Patiently,Slowly,training_3508,training_3509
