label_a,label_b,symmetric_oof_errors,matched_sessions,feature,n_pairs,mean_a_minus_b_rank,median_a_minus_b_rank,sign_consistency,paired_standardised_mean,abs_mean_rank_delta
Carefully,Meticulously,4,3,sk_cad_pow,2,1.0,1.0,1.0,,1.0
Contently,Lazily,4,2,raw_low_motion_frac,2,1.0,1.0,1.0,,1.0
Carefully,Meticulously,4,3,sk_spec_cent,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Carefully,Meticulously,4,3,raw_low_motion_frac,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Contently,Lazily,4,2,sk_v_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,sk_v_p90,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,sk_jerk_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,sk_vwrist_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,sk_vankle_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,raw_ankle_speed_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Contently,Lazily,4,2,raw_wrist_ankle_ratio,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Rapidly,Steadily,4,10,sk_cad_pow,10,0.7,0.5,1.0,2.7110883423451915,0.7
Carefully,Meticulously,4,3,dino_cad_pow,3,0.6666666666666666,0.5,1.0,2.309401076758503,0.6666666666666666
Carefully,Meticulously,4,3,rad_v_p90,3,-0.5833333333333334,-0.75,0.6666666666666666,-1.12089707663561,0.5833333333333334
Rapidly,Steadily,4,10,duration_s,10,-0.55,-0.5,0.9,-1.256288529584354,0.55
Rapidly,Steadily,4,10,raw_duration_s,10,-0.55,-0.5,0.9,-1.256288529584354,0.55
Carefully,Meticulously,4,3,duration_s,2,0.5,0.5,1.0,,0.5
Carefully,Meticulously,4,3,sk_v_mean,2,-0.5,-0.5,1.0,,0.5
Carefully,Meticulously,4,3,sk_v_p90,2,-0.5,-0.5,1.0,,0.5
Rapidly,Steadily,4,10,dino_path,10,-0.5,-0.5,0.9,-1.224744871391589,0.5
Rapidly,Steadily,4,10,imu_dacc_mean,10,0.45,0.5,0.8,0.8178064193007666,0.45
Rapidly,Steadily,4,10,dino_v_mean,10,0.45,0.5,0.8,0.8178064193007666,0.45
Rapidly,Steadily,4,10,raw_speed_p90,10,0.45,0.5,0.8,0.6567807448042018,0.45
Rapidly,Steadily,4,10,raw_wrist_speed_mean,10,0.45,0.5,0.8,0.8178064193007666,0.45
Carefully,Peacefully,2,2,raw_speed_cv,2,1.0,1.0,1.0,,1.0
Confidently,Hurriedly,2,1,sk_v_p90,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,sk_vmax_mean,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,sk_vwrist_mean,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,sk_cad_pow,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,imu_acc_std,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,imu_dacc_mean,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,imu_acc_energy,1,-1.0,-1.0,1.0,,1.0
Confidently,Hurriedly,2,1,rad_v_mean,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,duration_s,1,1.0,1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_v_p90,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_a_mean,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_jerk_mean,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_cad_hz,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_spec_cent,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,sk_v_iqr,1,-1.0,-1.0,1.0,,1.0
Diligently,Rapidly,2,1,imu_acc_std,1,-1.0,-1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_v_mean,1,1.0,1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_v_p90,1,1.0,1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_cos_mean,1,-1.0,-1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_v_iqr,1,1.0,1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_cad_hz,1,-1.0,-1.0,1.0,,1.0
Earnestly,Quickly,2,1,dino_spec_cent,1,-1.0,-1.0,1.0,,1.0
Earnestly,Quickly,2,1,raw_wrist_ankle_ratio,1,1.0,1.0,1.0,,1.0
Earnestly,Quickly,2,1,raw_hip_speed_mean,1,1.0,1.0,1.0,,1.0
Evenly,Tensely,2,1,sk_cad_pow,1,1.0,1.0,1.0,,1.0
Evenly,Tensely,2,1,sk_spec_cent,1,-1.0,-1.0,1.0,,1.0
Evenly,Tensely,2,1,dino_v_p90,1,1.0,1.0,1.0,,1.0
Evenly,Tensely,2,1,raw_ankle_speed_mean,1,-1.0,-1.0,1.0,,1.0
Evenly,Tensely,2,1,raw_hip_efficiency,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,sk_cad_pow,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,imu_acc_std,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,imu_dacc_mean,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,imu_acc_energy,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,imu_gyr_mean,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,imu_gyr_energy,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,dino_v_mean,1,1.0,1.0,1.0,,1.0
Frantically,Smoothly,2,1,dino_v_p90,1,1.0,1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,sk_cad_hz,1,-1.0,-1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,dino_v_p90,1,-1.0,-1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,dino_spec_cent,1,1.0,1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,raw_speed_cv,1,1.0,1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,raw_wrist_ankle_ratio,1,1.0,1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,raw_pose_amplitude,1,-1.0,-1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,raw_cad_hz,1,1.0,1.0,1.0,,1.0
Hurriedly,Swiftly,2,1,raw_cad_peak_frac,1,-1.0,-1.0,1.0,,1.0
Hurriedly,quickly,2,1,sk_hip_path,1,-1.0,-1.0,1.0,,1.0
Hurriedly,quickly,2,1,sk_spec_cent,1,1.0,1.0,1.0,,1.0
Hurriedly,quickly,2,1,dino_spec_cent,1,-1.0,-1.0,1.0,,1.0
Hurriedly,quickly,2,1,raw_wrist_ankle_ratio,1,-1.0,-1.0,1.0,,1.0
Hurriedly,quickly,2,1,raw_hip_path,1,-1.0,-1.0,1.0,,1.0
Hurriedly,quickly,2,1,raw_hip_efficiency,1,1.0,1.0,1.0,,1.0
Hurriedly,quickly,2,1,raw_pose_amplitude,1,-1.0,-1.0,1.0,,1.0
Intently,Slowly,2,1,sk_hip_path,1,-1.0,-1.0,1.0,,1.0
Intently,Slowly,2,1,dino_acc_mean,1,1.0,1.0,1.0,,1.0
Intently,Slowly,2,1,dino_spec_cent,1,1.0,1.0,1.0,,1.0
Intently,Slowly,2,1,raw_wrist_ankle_ratio,1,-1.0,-1.0,1.0,,1.0
Intently,Slowly,2,1,raw_hip_path,1,-1.0,-1.0,1.0,,1.0
Intently,Slowly,2,1,raw_low_motion_frac,1,-1.0,-1.0,1.0,,1.0
Intently,Slowly,2,1,raw_longest_low_motion_s,1,-1.0,-1.0,1.0,,1.0
Lightly,Steadily,2,2,raw_speed_cv,2,1.0,1.0,1.0,,1.0
Nervously,Steadily,2,2,dino_spec_cent,2,-1.0,-1.0,1.0,,1.0
Patiently,Slowly,2,1,sk_v_p90,1,1.0,1.0,1.0,,1.0
Patiently,Slowly,2,1,sk_vwrist_mean,1,1.0,1.0,1.0,,1.0
Patiently,Slowly,2,1,sk_cad_pow,1,1.0,1.0,1.0,,1.0
Patiently,Slowly,2,1,sk_spec_cent,1,-1.0,-1.0,1.0,,1.0
Patiently,Slowly,2,1,raw_speed_p90,1,1.0,1.0,1.0,,1.0
Patiently,Slowly,2,1,raw_wrist_ankle_ratio,1,1.0,1.0,1.0,,1.0
Anxiously,Leisurely,2,8,duration_s,8,-0.9375,-1.0,1.0,-5.303300858899106,0.9375
Anxiously,Leisurely,2,8,raw_duration_s,8,-0.9375,-1.0,1.0,-5.303300858899106,0.9375
Anxiously,Leisurely,2,8,imu_gyr_mean,8,0.875,1.0,1.0,3.780432074071252,0.875
Anxiously,Leisurely,2,8,dino_path,8,-0.8125,-1.0,1.0,-3.139798295007712,0.8125
Anxiously,Leisurely,2,8,sk_v_iqr,8,0.75,0.75,1.0,2.806243040080456,0.75
Anxiously,Leisurely,2,8,imu_acc_std,8,0.75,0.75,1.0,2.806243040080456,0.75
Anxiously,Leisurely,2,8,imu_dacc_mean,8,0.75,0.75,1.0,2.806243040080456,0.75
Anxiously,Leisurely,2,8,imu_acc_energy,8,0.75,0.75,1.0,2.806243040080456,0.75
Calmly,Gracefully,2,2,sk_cad_hz,2,0.75,0.75,1.0,2.1213203435596424,0.75
Calmly,Gracefully,2,2,dino_v_mean,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Calmly,Gracefully,2,2,dino_v_iqr,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Calmly,Gracefully,2,2,raw_acc_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Calmly,Gracefully,2,2,raw_hip_speed_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Carefully,Peacefully,2,2,sk_vwrist_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Carefully,Peacefully,2,2,sk_hip_path,2,0.75,0.75,1.0,2.1213203435596424,0.75
Carefully,Peacefully,2,2,raw_wrist_speed_mean,2,0.75,0.75,1.0,2.1213203435596424,0.75
Carefully,Peacefully,2,2,raw_hip_path,2,0.75,0.75,1.0,2.1213203435596424,0.75
Carefully,Peacefully,2,2,raw_hip_efficiency,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
Evenly,Slowly,2,4,sk_a_mean,4,-0.75,-0.75,1.0,-2.598076211353316,0.75
Evenly,Slowly,2,4,raw_pose_amplitude,4,-0.75,-0.75,1.0,-2.598076211353316,0.75
Forcefully,Steadily,2,2,imu_gyr_mean,2,-0.75,-0.75,1.0,-2.1213203435596424,0.75
