split,fold,block_id,qa_id,user,trial_key,source,category,block_size,block_regime,action,action_identity,option_letters,action_in_this_multi_options,ground_truth_answer,champion_answer,best_x_answer,champion_multi_correct,ground_truth_pool_member,ground_truth_multi_member,champion_pool_member,champion_multi_member,pool_omission,false_negative_action,spurious_action,selected_session_pool,selected_pool_cardinality,selected_pool_score,best_pool_containing_action,best_pool_containing_action_rank,best_pool_containing_action_score,selected_minus_best_x_score,best_x_pool_cardinality,best_x_added_actions,best_x_removed_actions,displaced_action,best_x_multi_correct,best_x_would_change_question,napp,napp_frac,n_single,n_multi,n_comb,n_seq,forced,candidate_universe_size,block_question_count,co_max,co_mean,co_n,dense_skel_imu_probability_max,dense_skel_imu_probability_mean,dense_skel_imu_probability_topk,dense_skel_imu_probability_fraction,dense_skel_imu_logit_max,dense_dino_probability_max,pool_logodds,pool_probability,train_action_session_count,train_action_session_rate,sibling_count,sibling_gt_action_count,sibling_pred_multi_action_count,sibling_pred_action_count,sibling_pred_single_action_count,sibling_pred_combination_action_count,sibling_pred_sequence_action_count,harn_child_pred_support_count,harn_child_gt_support_count,parent_session_pool_support,block_conformance,block_intersection_size,candidate_pool_count,enumeration_status,skeleton_available,physical_features_available,imu_available,dense_logits_available,dino_video_available,dino_dense_available,action_oof_reliability_n,action_oof_precision_at_0p5,action_oof_brier
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Eating,7_Eat_food,,0,B,B,,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,,,,,,,,,0,0,1.0,0.125,1,0,0,0,0,18,8,-0.021566705558775576,-1.1243065488512025,6,7.530489425075107e-05,4.866728567745363e-06,5.141485232751601e-05,0.0,-9.034773826599121,0.00018335640860251646,-6.0,0.0024726231566347743,38,0.18095238095238095,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,100,1.0,0.06055449171058262
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Getting dressed,5_Put_on_clothes,,0,B,B,,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,,,,,,,,,0,0,2.0,0.25,0,0,2,0,0,18,8,1.034370019939756,-1.9132084229542858,6,0.003155971850251912,0.00014524771872093144,0.0014220688526594796,0.0,-4.33499813079834,0.1107661984860897,-6.0,0.0024726231566347743,13,0.06190476190476191,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,82,1.0,1.2781910378517209e-05
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Grabbing utensils,8_Take_and_use_tableware,,0,B,B,B,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Grabbing utensils||Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6.0,46.74102162405429,12.0,7.0,Grabbing utensils,,,1,0,2.0,0.25,0,0,2,0,0,18,8,0.2716967767312005,-1.5609834378201821,6,0.019435349186616286,0.001424305793186342,0.01637118804026205,0.0,-3.5993990898132324,0.00013652970457249988,-6.0,0.0024726231566347743,33,0.15714285714285714,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,92,0.9,0.08285234962211456
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Jumping jacks,30_Do_jumping_jacks,B,1,B,B,B,1,1,1,1,1,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,1.0,58.74102162405429,0.0,6.0,,,,1,0,7.0,0.875,1,1,4,1,1,18,8,1.4279065571826466,0.05435907735371694,6,0.9529673882893153,0.05522342573726753,0.5856290655868914,0.07260726072607261,-0.007645748555660248,0.9354762520108902,6.0,0.9975273768433653,11,0.05238095238095238,1,1,0,1,0,1,0,0,0,1,1,3,32,enumerated,0,1,0,1,1,1,75,1.0,5.907119568840567e-05
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Listening to the music with headphones,23_Listen_to_music_with_headphones,,0,B,B,B,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Listening to the music with headphones||Running||Standing up||Stretching||Taking a selfie||Using a phone,3.0,51.634011078738325,7.1070105453159655,7.0,Listening to the music with headphones,,,1,0,2.0,0.25,0,0,2,0,0,18,8,1.2346988934877945,0.42579342361770633,6,0.0016535611315962992,4.67851302667802e-05,0.0007142386789034703,0.0,-5.639688014984131,0.0012036463428687836,-3.5535052726579814,0.02782758778232716,28,0.13333333333333333,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,93,1.0,0.0009093029731184854
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Lunges,35_Do_lunges,,0,B,B,,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,,,,,,,,,0,0,3.0,0.375,0,1,2,0,0,18,8,1.7301874290555803,-0.0179009262885725,6,0.00117139133927984,3.552511578504404e-05,0.00043304719639536415,0.0,-5.208730697631836,0.0015771307932612086,-3.487114419420807,0.029681096582159852,8,0.0380952380952381,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,72,1.0,0.0028617689994742176
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Mopping,13_Mop_the_floor,C,1,B,B,BC,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Mopping||Running||Standing up||Stretching||Taking a selfie||Using a phone,7.0,46.74102162405429,12.0,7.0,Mopping,,,0,1,1.0,0.125,0,1,0,0,0,18,8,0.5279987465231457,-1.660761969050357,6,0.000571289228641295,2.0194080142539398e-05,0.00020618928513669037,0.0,-6.213975429534912,0.0001704553100613079,-6.0,0.0024726231566347743,17,0.08095238095238096,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,54,1.0,9.660501273701425e-06
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Pouring,9_Pour_drinks,A,1,B,B,AB,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Pouring||Running||Standing up||Stretching||Taking a selfie||Using a phone,5.0,48.781497496664095,9.959524127390196,7.0,Pouring,,,0,1,1.0,0.125,0,1,0,0,0,18,8,0.05955883925359285,-0.2826142085202012,6,0.0042518779435860255,0.00031000564105248103,0.002724718240791176,0.0,-5.104558944702148,0.013579089793243578,-4.979762063695096,0.006828745943980213,35,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,92,0.8928571428571429,0.014812644199477676
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Running,28_Jog_in_place,,0,B,B,B,1,1,0,1,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,1.0,58.74102162405429,0.0,6.0,,,,1,0,4.0,0.5,0,1,2,1,1,18,8,1.7965100719866527,1.2645716340476194,6,0.0012836904570576733,6.239062008876715e-05,0.0007858283914415828,0.0,-5.625499725341797,0.018468650082858012,6.0,0.9975273768433653,10,0.047619047619047616,1,1,1,1,0,0,1,0,0,1,1,3,32,enumerated,0,1,0,1,1,1,85,1.0,0.00012013107335088478
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Sitting down,34_Sit_down,,0,B,B,,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,,,,,,,,,0,0,2.0,0.25,2,0,0,0,0,18,8,0.9844109485653422,0.4553840133675376,6,0.042829376046678844,0.000605014902283818,0.007694544736111578,0.0,-2.102787494659424,0.0007141236149306807,-3.1881018073347906,0.039615936085090495,53,0.2523809523809524,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,99,1.0,0.05698647377944199
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Squats,29_Do_squats,D,1,B,B,BD,1,0,0,0,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,2.0,53.31812144416161,5.422900179892679,7.0,Squats,,,0,1,1.0,0.125,0,1,0,0,0,18,8,1.5817532394395444,-0.6425618066433599,6,0.980261504650116,0.15063313279462787,0.8414651291368871,0.20462046204620463,-0.007484372239559889,0.13379670160689525,-2.711450089946339,0.06230108383277465,23,0.10952380952380952,1,0,0,0,0,0,0,0,0,0,1,3,32,enumerated,0,1,0,1,1,1,85,1.0,0.0009132489204799509
oof,0,f0b000,training_0936,user4,3-2,HAU,multi,2,pair,Standing up,32_Stand_up,,0,B,B,B,1,1,0,1,0,0,0,0,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,1.0,58.74102162405429,0.0,6.0,,,,1,0,3.0,0.375,1,1,0,1,1,18,8,1.3757774917477001,-0.06823988330001396,6,0.017156694747557464,0.0002171488705647512,0.004137374757009838,0.0,-3.225766897201538,0.13038324937224388,4.795601223041262,0.9918017394408561,31,0.14761904761904762,1,1,1,1,1,0,0,0,0,1,1,3,32,enumerated,0,1,0,1,1,1,90,1.0,0.01881042871806003
