split,fold,block_id,block_indices,block_paths,block_size,block_regime,block_n_questions,block_universe_size,block_free_size,block_forced_actions,block_intersection_size,block_conformance,true_session_ids,true_block_pure,true_block_size,candidate_count,enumeration_status,selected_pool,selected_pool_cardinality,selected_pool_score,production_selected_pool,production_pool_match
oof,0,f0b000,"[114,115]","[""HAU/user4/3-2-1"",""HAU/user4/3-2-2""]",2,pair,8,18,12,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,3,1,[0],1,2,32,enumerated,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,58.74102162405429,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,1
oof,0,f0b001,"[116,117,118]","[""HAU/user6/5-1-1"",""HAU/user6/5-1-2"",""HAU/user6/5-1-3""]",3,triple,9,21,21,,3,1,[1],1,3,556,enumerated,Listening to the music with headphones||Using a phone,2,116.83282172793055,Listening to the music with headphones||Using a phone,1
oof,0,f0b002,"[119,120]","[""HAU/user17/6-3-2"",""HAU/user17/6-3-3""]",2,pair,8,17,13,Checking the time||Sitting down||Typing on a keyboard||Walking,3,1,[2],1,2,68,enumerated,Checking the time||Sitting down||Typing on a keyboard||Walking,4,71.36137843633931,Checking the time||Sitting down||Typing on a keyboard||Walking,1
oof,0,f0b003,"[121,122,123]","[""HAU/user22/5-1-1"",""HAU/user22/5-1-2"",""HAU/user22/5-1-3""]",3,triple,9,18,18,,3,1,[3],1,3,34,enumerated,Checking body temperature||Massaging oneself,2,101.8919327420764,Checking body temperature||Massaging oneself,1
oof,0,f0b004,"[124,125,126]","[""HAU/user6/6-2-1"",""HAU/user6/6-2-2"",""HAU/user6/6-2-3""]",3,triple,12,30,23,Checking body temperature||Checking the time||Drinking||Grabbing utensils||Sweeping||Taking medicine||Using a phone,3,1,[4],1,3,1,unsat_fallback,Checking body temperature||Checking the time||Drinking||Eating||Grabbing utensils||Reading||Sweeping||Taking medicine||Using a phone||Wiping surface,10,112.72448934302088,Checking body temperature||Checking the time||Drinking||Eating||Grabbing utensils||Reading||Sweeping||Taking medicine||Using a phone||Wiping surface,1
oof,0,f0b005,"[127,128]","[""HAU/user4/1-2-2"",""HAU/user4/1-2-3""]",2,pair,6,20,20,,3,1,[5],1,2,2756,enumerated,Eating||Grabbing utensils||Peeling fruit||Pouring||Stirring||Walking,6,97.49299982989177,Eating||Grabbing utensils||Peeling fruit||Pouring||Stirring||Walking,1
oof,0,f0b006,"[129,130,131]","[""HAU/user6/7-2-1"",""HAU/user6/7-2-2"",""HAU/user6/7-2-3""]",3,triple,9,25,25,,3,1,[6],1,3,1,unsat_fallback,Eating||Grabbing utensils||Pouring||Stirring,4,136.1033127001057,Eating||Grabbing utensils||Pouring||Stirring,1
oof,0,f0b007,"[132,133]","[""HAU/user6/1-1-2"",""HAU/user6/1-1-3""]",2,pair,6,15,15,,3,1,[7],1,2,80,enumerated,Brushing teeth||Walking||Washing face,3,81.28830058899409,Brushing teeth||Walking||Washing face,1
oof,0,f0b008,"[134,135,136]","[""HAU/user4/2-1-1"",""HAU/user4/2-1-2"",""HAU/user4/2-1-3""]",3,triple,9,26,26,,3,1,[8],1,3,1,unsat_fallback,Drinking||Eating||Grabbing utensils||Peeling fruit||Pouring||Standing up,6,138.17892435679283,Drinking||Eating||Grabbing utensils||Peeling fruit||Pouring||Standing up,1
oof,0,f0b009,"[137,138,139]","[""HAU/user22/7-1-1"",""HAU/user22/7-1-2"",""HAU/user22/7-1-3""]",3,triple,9,19,19,,3,1,[9],1,3,168,enumerated,Sitting down||Taking medicine,2,103.66308719075977,Sitting down||Taking medicine,1
oof,0,f0b010,"[140,141]","[""HAU/user4/1-1-1"",""HAU/user4/1-1-2""]",2,pair,6,14,14,,3,1,[10],1,2,58,enumerated,Washing face||Wiping hands,2,76.86558995027525,Washing face||Wiping hands,1
oof,0,f0b011,"[142,143]","[""HAU/user4/5-1-2"",""HAU/user4/5-1-3""]",2,pair,6,15,15,,3,1,[11],1,2,116,enumerated,Eating||Stirring,2,88.49289648596007,Eating||Stirring,1
oof,0,f0b012,"[144,145,146]","[""HAU/user22/7-2-1"",""HAU/user22/7-2-2"",""HAU/user22/7-2-3""]",3,triple,12,23,19,Getting dressed||Running||Standing up||Undressing,3,1,[12],1,3,784,enumerated,Getting dressed||Running||Standing up||Undressing,4,101.93115513005742,Getting dressed||Running||Standing up||Undressing,1
