split,fold,block_id,block_size,candidate_rank,candidate_score,candidate_pool,candidate_cardinality,is_selected
oof,0,f0b000,2,1,58.74102162405429,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,6,1
oof,0,f0b000,2,2,53.31812144416161,Jumping jacks||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,7,0
oof,0,f0b000,2,3,51.634011078738325,Jumping jacks||Listening to the music with headphones||Running||Standing up||Stretching||Taking a selfie||Using a phone,7,0
oof,0,f0b000,2,4,49.09884568205574,Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone||Writing,7,0
oof,0,f0b000,2,5,48.781497496664095,Jumping jacks||Pouring||Running||Standing up||Stretching||Taking a selfie||Using a phone,7,0
oof,0,f0b000,2,6,46.74102162405429,Grabbing utensils||Jumping jacks||Running||Standing up||Stretching||Taking a selfie||Using a phone,7,0
oof,0,f0b000,2,7,46.74102162405429,Jumping jacks||Mopping||Running||Standing up||Stretching||Taking a selfie||Using a phone,7,0
oof,0,f0b000,2,8,46.21111089884565,Jumping jacks||Listening to the music with headphones||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,8,0
oof,0,f0b000,2,9,43.67594550216306,Jumping jacks||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone||Writing,8,0
oof,0,f0b000,2,10,43.358597316771416,Jumping jacks||Pouring||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,8,0
oof,0,f0b000,2,11,41.67448695134813,Jumping jacks||Listening to the music with headphones||Pouring||Running||Standing up||Stretching||Taking a selfie||Using a phone,8,0
oof,0,f0b000,2,12,41.31812144416161,Grabbing utensils||Jumping jacks||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,8,0
oof,0,f0b000,2,13,41.31812144416161,Jumping jacks||Mopping||Running||Squats||Standing up||Stretching||Taking a selfie||Using a phone,8,0
oof,0,f0b000,2,14,39.634011078738325,Jumping jacks||Listening to the music with headphones||Mopping||Running||Standing up||Stretching||Taking a selfie||Using a phone,8,0
