split,held,qa_id,category,overlap,user,truth,pred,support,raw_support,purity,answers,semantic,correct
oof,user1,training_0001,single,2,user1,A,C,17,28,0.5294117647058824,3,Stirring,False
oof,user1,training_0002,single,2,user1,C,A,10,27,0.4,4,Grabbing utensils,False
oof,user1,training_0003,single,2,user1,B,A,9,28,0.5555555555555556,4,Typing on a keyboard,False
oof,user1,training_0004,single,3,user1,B,B,1,1,1.0,1,Peeling fruit,True
oof,user1,training_0005,single,3,user1,B,D,1,1,1.0,1,Checking the time,False
oof,user1,training_0006,single,3,user1,A,B,4,4,0.75,2,Sitting down,False
oof,user1,training_0007,single,2,user1,C,C,13,34,0.5384615384615384,4,Peeling fruit,True
oof,user1,training_0008,single,2,user1,C,D,17,33,0.4117647058823529,4,Wiping hands,False
oof,user1,training_0009,single,3,user1,D,B,1,1,1.0,1,Lying down,False
oof,user1,training_0010,single,2,user1,C,C,31,43,0.8064516129032258,4,Walking,True
oof,user1,training_0011,single,3,user1,D,D,3,4,0.6666666666666666,2,Walking,True
oof,user1,training_0012,single,3,user1,A,A,1,1,1.0,1,Walking,True
oof,user1,training_0013,single,3,user1,B,B,1,1,1.0,1,Eating,True
oof,user1,training_0014,single,3,user1,B,D,1,1,1.0,1,Wiping surface,False
oof,user1,training_0015,single,3,user1,B,C,2,2,0.5,2,Checking the time,False
oof,user1,training_0016,single,3,user1,C,C,2,2,1.0,1,Walking,True
oof,user1,training_0017,single,3,user1,D,B,1,1,1.0,1,Combing hair,False
oof,user1,training_0018,single,2,user1,B,B,17,29,0.4117647058823529,4,Squats,True
oof,user1,training_0019,single,2,user1,D,D,17,39,0.5882352941176471,3,Drinking,True
oof,user1,training_0020,single,3,user1,C,C,1,1,1.0,1,Peeling fruit,True
oof,user1,training_0021,single,2,user1,A,A,14,31,0.5714285714285714,4,Pouring,True
oof,user1,training_0022,single,2,user1,B,C,11,27,0.45454545454545453,3,Massaging oneself,False
oof,user1,training_0023,single,3,user1,A,B,2,2,1.0,1,Walking,False
