fold,path,user,truth,prediction,confidence,correct
0,HAU/user1/1-1-1,user1,Jumping jacks,Sitting down,0.10482297937342815,0
0,HAU/user1/1-1-2,user1,Jumping jacks,Sitting down,0.12374270458150698,0
0,HAU/user1/1-1-3,user1,Combing hair,Sitting down,0.10466976323357029,0
0,HAU/user1/1-2-1,user1,Peeling fruit,Drinking,0.15837208598754604,0
0,HAU/user1/1-2-2,user1,Grabbing utensils,Eating,0.16381531701063407,0
0,HAU/user1/1-2-3,user1,Eating,Eating,0.2606089807292144,1
0,HAU/user1/2-1-1,user1,Peeling fruit,Sweeping,0.14156608964383122,0
0,HAU/user1/2-1-2,user1,Peeling fruit,Walking,0.17822561856815894,0
0,HAU/user1/2-1-3,user1,Grabbing utensils,Drinking,0.16533154441212256,0
0,HAU/user1/2-2-1,user1,Walking,Sitting down,0.13756483629311164,0
0,HAU/user1/2-2-2,user1,Walking,Reading,0.09597695512089231,0
0,HAU/user1/2-2-3,user1,Walking,Sitting down,0.10051599500911859,0
0,HAU/user1/3-1-1,user1,Eating,Eating,0.26196179180283696,1
0,HAU/user1/3-1-2,user1,Eating,Eating,0.28672000677670095,1
0,HAU/user1/3-1-3,user1,Eating,Eating,0.2305017420734454,1
0,HAU/user1/3-2-1,user1,Walking,Standing up,0.13820454944520844,0
0,HAU/user1/3-2-2,user1,Checking the time,Standing up,0.1457863839436853,0
0,HAU/user1/3-2-3,user1,Squats,Running,0.10445753636820979,0
0,HAU/user1/4-1-1,user1,Drinking,Eating,0.14356751618052102,0
0,HAU/user1/4-1-2,user1,Peeling fruit,Eating,0.1735102276537615,0
0,HAU/user1/4-1-3,user1,Pouring,Eating,0.1811586582851504,0
0,HAU/user1/5-1-1,user1,Taking a selfie,Eating,0.17728016098176483,0
0,HAU/user1/5-1-2,user1,Listening to the music with headphones,Eating,0.19895512484278907,0
0,HAU/user1/5-1-3,user1,Taking a selfie,Eating,0.17307731579368857,0
0,HAU/user1/6-1-1,user1,Eating,Mopping,0.2021579034489877,0
0,HAU/user1/6-1-2,user1,Eating,Eating,0.18580434203100069,1
0,HAU/user1/6-1-3,user1,Walking,Walking,0.177056511064884,1
0,HAU/user1/6-2-1,user1,Turning a page,Reading,0.11549497121582014,0
0,HAU/user1/6-2-2,user1,Standing up,Reading,0.11544785208332274,0
0,HAU/user1/6-2-3,user1,Sweeping,Sitting down,0.13082592897299125,0
0,HAU/user1/7-1-1,user1,Sitting down,Writing,0.10302487486363311,0
0,HAU/user1/7-1-2,user1,Sitting down,Writing,0.11342115735452125,0
