qa,fold,ans,base,new,bc,nc,ncov,cov
training_2415,0,DBCA,DBCA,DBCA,True,True,5,4+
training_2416,0,CBAD,CBAD,CBAD,True,True,5,4+
training_2417,0,ABDC,ABDC,ABDC,True,True,5,4+
training_2418,0,ADCB,ADCB,ADCB,True,True,0,0
training_2419,0,ADCB,ADCB,ADCB,True,True,0,0
training_2420,0,BCDA,BCDA,BCDA,True,True,0,0
training_2421,0,CABD,BDCA,BDCA,False,False,3,2-3
training_2422,0,CDBA,DBCA,DBCA,False,False,3,2-3
training_2423,0,ADCB,DCBA,DCBA,False,False,3,2-3
training_2424,0,DCBA,CBAD,CBAD,False,False,4,4+
training_2425,0,ADBC,DBCA,DBCA,False,False,4,4+
training_2426,0,BDAC,DACB,DACB,False,False,4,4+
training_2427,0,CDBA,CDBA,CDBA,True,True,4,4+
training_2428,0,BDAC,BDAC,BDAC,True,True,4,4+
training_2429,0,ACDB,ACDB,ACDB,True,True,4,4+
training_2430,0,BADC,BADC,BADC,True,True,0,0
training_2431,0,ADBC,ADBC,ADBC,True,True,0,0
training_2432,0,BCAD,BCDA,BCDA,False,False,0,0
training_2433,0,CADB,CADB,CADB,True,True,4,4+
training_2434,0,ADCB,ADCB,ADCB,True,True,4,4+
training_2435,0,DCBA,DCBA,DCBA,True,True,4,4+
training_2436,0,ACDB,CABD,CABD,False,False,1,1
training_2437,0,DCBA,CDAB,CDAB,False,False,1,1
training_2438,0,BCAD,CBDA,CBDA,False,False,1,1
training_2439,0,DBAC,DBAC,DBAC,True,True,3,2-3
training_2440,0,ABCD,ABCD,ABCD,True,True,3,2-3
training_2441,0,DBAC,DBAC,DBAC,True,True,3,2-3
training_2442,0,DCBA,DCBA,DCBA,True,True,3,2-3
training_2443,0,ADCB,ADCB,ADCB,True,True,3,2-3
training_2444,2,DBCA,DBCA,DBCA,True,True,3,2-3
training_2445,2,DACB,DACB,DACB,True,True,3,2-3
training_2446,2,BDCA,BDCA,BDCA,True,True,3,2-3
training_2447,2,CABD,CBAD,CBAD,False,False,2,2-3
