qa,fold,blk,ninv,correct,ncov,nact
training_2415,0,"('user1', '1', '1')",0,1,5,4
training_2416,0,"('user1', '1', '1')",0,1,5,4
training_2417,0,"('user1', '1', '1')",0,1,5,4
training_2418,0,"('user1', '2', '2')",0,1,0,4
training_2419,0,"('user1', '2', '2')",0,1,0,4
training_2420,0,"('user1', '2', '2')",0,1,0,4
training_2421,0,"('user1', '3', '2')",4,0,3,4
training_2422,0,"('user1', '3', '2')",2,0,3,4
training_2423,0,"('user1', '3', '2')",3,0,3,4
training_2424,0,"('user1', '5', '1')",3,0,4,4
training_2425,0,"('user1', '5', '1')",3,0,4,4
training_2426,0,"('user1', '5', '1')",3,0,4,4
training_2427,0,"('user1', '6', '2')",0,1,4,4
training_2428,0,"('user1', '6', '2')",0,1,4,4
training_2429,0,"('user1', '6', '2')",0,1,4,4
training_2430,0,"('user1', '7', '1')",0,1,0,4
training_2431,0,"('user1', '7', '1')",0,1,0,4
training_2432,0,"('user1', '7', '1')",1,0,0,4
training_2433,0,"('user2', '2', '2')",0,1,4,4
training_2434,0,"('user2', '2', '2')",0,1,4,4
training_2435,0,"('user2', '2', '2')",0,1,4,4
training_2436,0,"('user2', '4', '1')",2,0,1,4
training_2437,0,"('user2', '4', '1')",2,0,1,4
training_2438,0,"('user2', '4', '1')",2,0,1,4
training_2439,0,"('user2', '6', '1')",0,1,3,4
training_2440,0,"('user2', '6', '1')",0,1,3,4
training_2441,0,"('user2', '7', '3')",0,1,3,4
training_2442,0,"('user2', '7', '3')",0,1,3,4
training_2443,0,"('user2', '7', '3')",0,1,3,4
training_2444,2,"('user3', '2', '1')",0,1,3,4
training_2445,2,"('user3', '2', '1')",0,1,3,4
training_2446,2,"('user3', '2', '1')",0,1,3,4
training_2447,2,"('user3', '2', '2')",1,0,2,4
training_2448,2,"('user3', '2', '2')",1,0,2,4
training_2449,2,"('user3', '2', '2')",1,0,2,4
training_2450,2,"('user3', '3', '2')",1,0,1,4
training_2451,2,"('user3', '3', '2')",0,1,1,4
training_2452,2,"('user3', '3', '2')",0,1,1,4
