fold,u,truth,p,pred,correct
0,user17,0,0.3091968912258632,0,1
0,user17,1,0.41989507194573594,0,0
0,user17,0,0.5104248478787878,1,0
0,user17,1,0.6935285603546821,1,1
0,user17,0,0.3332007192777343,0,1
0,user17,1,0.45730217063183765,0,0
0,user17,0,0.2883860214504165,0,1
0,user17,1,0.5226989116213463,1,1
0,user17,0,0.20469701839088164,0,1
0,user17,1,0.44447620081317973,0,0
0,user17,0,0.577365699155323,1,0
0,user17,1,0.663617924059287,1,1
0,user17,0,0.6564147826832218,1,0
0,user17,1,0.743945254883146,1,1
0,user17,0,0.20666630379773263,0,1
0,user17,1,0.3459628854384797,0,0
0,user17,0,0.3916065200509321,0,1
0,user17,1,0.6207934046020106,1,1
0,user17,0,0.49007045805233124,0,1
0,user17,1,0.5998889515060563,1,1
0,user17,0,0.6938731040616191,1,0
0,user17,1,0.7809994661471863,1,1
0,user17,0,0.1774952316105299,0,1
0,user17,1,0.29736854008600183,0,0
0,user17,0,0.34388274995383694,0,1
0,user17,1,0.5407529492397692,1,1
0,user17,0,0.7380681494034538,1,0
0,user17,1,0.7915381224755853,1,1
0,user17,0,0.30635519311818543,0,1
0,user17,1,0.3973407958679735,0,0
0,user17,0,0.3656164473710694,0,1
0,user17,1,0.5128571740181166,1,1
0,user22,0,0.22046625991268673,0,1
0,user22,1,0.4644813958490053,0,0
0,user22,0,0.15201038459003915,0,1
0,user22,1,0.30105216621619185,0,0
0,user22,0,0.1898306062302602,0,1
0,user22,1,0.33041348092612927,0,0
0,user22,0,0.33223892928991866,0,1
0,user22,1,0.4942818126517076,0,0
0,user22,0,0.33509027325941754,0,1
0,user22,1,0.5814316361773085,1,1
0,user22,0,0.4259821010419279,0,1
0,user22,1,0.43019572163491027,0,0
0,user22,0,0.45515495016773605,0,1
0,user22,1,0.8411725939041144,1,1
0,user22,0,0.5886320070728183,1,0
0,user22,1,0.6426426647377003,1,1
0,user22,0,0.6132295514737989,1,0
0,user22,1,0.8638308238878769,1,1
0,user22,0,0.3728662074155721,0,1
0,user22,1,0.4911332918347843,0,0
0,user22,0,0.4033214810715625,0,1
0,user22,1,0.5937970397809834,1,1
0,user22,0,0.3851624457920382,0,1
0,user22,1,0.5542312081232436,1,1
0,user22,0,0.45744616055568843,0,1
0,user22,1,0.6823923659766049,1,1
0,user22,0,0.187235686612276,0,1
0,user22,1,0.5219302499014792,1,1
0,user22,0,0.3870618718144733,0,1
0,user22,1,0.598375262590209,1,1
0,user4,0,0.14739295392531662,0,1
0,user4,1,0.24566461514252722,0,0
0,user4,0,0.1277230175809369,0,1
0,user4,1,0.25076464984311125,0,0
0,user4,0,0.2589051599847551,0,1
0,user4,1,0.4491525305792584,0,0
0,user4,0,0.13073552055009247,0,1
0,user4,1,0.26462525651413643,0,0
0,user4,0,0.1875491614756281,0,1
0,user4,1,0.319528451547248,0,0
0,user4,0,0.32849258383502977,0,1
0,user4,1,0.4734163626093153,0,0
0,user4,0,0.21570183207654278,0,1
0,user4,1,0.42239632255154635,0,0
0,user4,0,0.2100509938554748,0,1
0,user4,1,0.33817156674743326,0,0
0,user4,0,0.22483817824146074,0,1
0,user4,1,0.27119370766502116,0,0
0,user4,0,0.10577297216607517,0,1
0,user4,1,0.18122450264484047,0,0
0,user4,0,0.08655028173112006,0,1
0,user4,1,0.13951936340820528,0,0
0,user4,0,0.5645387937701563,1,0
0,user4,1,0.6769496087027086,1,1
0,user6,0,0.330626885558657,0,1
0,user6,1,0.5845239098438101,1,1
0,user6,0,0.3299647615817071,0,1
0,user6,1,0.6395582547979745,1,1
0,user6,0,0.46306226323874716,0,1
0,user6,1,0.6396571266169292,1,1
0,user6,0,0.5902662095815824,1,0
0,user6,1,0.8073051352735056,1,1
0,user6,0,0.2865730301926787,0,1
0,user6,1,0.48849470542372314,0,0
0,user6,0,0.260817135580132,0,1
0,user6,1,0.6454863345057725,1,1
0,user6,0,0.3653323043702482,0,1
0,user6,1,0.5476367248807286,1,1
0,user6,0,0.43682164682371244,0,1
0,user6,1,0.5857969904006187,1,1
0,user6,0,0.6731137913911666,1,0
0,user6,1,0.7288994140498026,1,1
0,user6,0,0.5392031211995021,1,0
0,user6,1,0.6610491807170328,1,1
0,user6,0,0.29488764517073607,0,1
0,user6,1,0.4530549804904517,0,0
0,user6,0,0.5093268775747092,1,0
0,user6,1,0.7845712802046405,1,1
0,user6,0,0.6086633821907149,1,0
0,user6,1,0.6510571844393067,1,1
0,user6,0,0.6859085111330605,1,0
0,user6,1,0.7330572380700879,1,1
0,user6,0,0.5465456366395355,1,0
0,user6,1,0.7701536876996844,1,1
0,user6,0,0.6886217206978607,1,0
0,user6,1,0.776036875819171,1,1
0,user6,0,0.7209317715665229,1,0
0,user6,1,0.7651812888257248,1,1
1,user1,0,0.026667318416813093,0,1
1,user1,1,0.1637755561744593,0,0
1,user1,0,0.21759941396981033,0,1
1,user1,1,0.3308381896512925,0,0
1,user1,0,0.29644594750993164,0,1
1,user1,1,0.4930925001346238,0,0
1,user1,0,0.030987493025080342,0,1
1,user1,1,0.08892144103240252,0,0
1,user1,0,0.022421449063067377,0,1
1,user1,1,0.11204641834820073,0,0
1,user1,0,0.08504349417753009,0,1
1,user1,1,0.09393368587239395,0,0
1,user1,0,0.5528043379875822,1,0
1,user1,1,0.7919879412912593,1,1
1,user1,0,0.387013460944441,0,1
1,user1,1,0.5787696927969838,1,1
1,user1,0,0.07755676403999362,0,1
1,user1,1,0.1825423440697502,0,0
1,user16,0,0.19325364301278475,0,1
1,user16,1,0.46824390010681766,0,0
1,user16,0,0.4523145174604318,0,1
1,user16,1,0.5577442099946781,1,1
1,user16,0,0.44797231720157776,0,1
1,user16,1,0.5796895022172802,1,1
1,user16,0,0.4211366459857993,0,1
1,user16,1,0.4929123572877708,0,0
1,user16,0,0.6788884271923621,1,0
1,user16,1,0.8480079469467657,1,1
1,user16,0,0.16863664089408187,0,1
1,user16,1,0.3495677222002901,0,0
1,user16,0,0.5778869329028975,1,0
1,user16,1,0.6915301797549191,1,1
1,user16,0,0.43809629427662444,0,1
1,user16,1,0.6689491009687701,1,1
1,user16,0,0.21104306504130463,0,1
1,user16,1,0.33370049945756064,0,0
1,user16,0,0.4119443549758436,0,1
1,user16,1,0.5155130296862699,1,1
1,user16,0,0.6326452115993595,1,0
1,user16,1,0.8288156815386757,1,1
1,user16,0,0.046021106075641256,0,1
1,user16,1,0.22750135390817677,0,0
1,user16,0,0.28786652950167885,0,1
1,user16,1,0.535302107557162,1,1
1,user16,0,0.33558459774527205,0,1
1,user16,1,0.3199830633903514,0,0
1,user16,0,0.33582651333465574,0,1
1,user16,1,0.5702349530771452,1,1
1,user16,0,0.36165569380693063,0,1
1,user16,1,0.4792615989651366,0,0
1,user16,0,0.32797650076310314,0,1
1,user16,1,0.45929288186595035,0,0
1,user21,0,0.4876089676367564,0,1
1,user21,1,0.6660611487758857,1,1
1,user21,0,0.4338553136011709,0,1
1,user21,1,0.4917095715588888,0,0
1,user21,0,0.14820059478888134,0,1
1,user21,1,0.35664649689171785,0,0
1,user21,0,0.38629755329746296,0,1
1,user21,1,0.5935234720595177,1,1
1,user21,0,0.40857963692014043,0,1
1,user21,1,0.5642013803537901,1,1
1,user21,0,0.3561884450707845,0,1
1,user21,1,0.5412437149531045,1,1
1,user21,0,0.20477868713692282,0,1
1,user21,1,0.4001122972229681,0,0
1,user21,0,0.5953550436986624,1,0
1,user21,1,0.7390036499439596,1,1
1,user21,0,0.3824544906522441,0,1
1,user21,1,0.4938146184089632,0,0
1,user21,0,0.3059407070115166,0,1
1,user21,1,0.4104066064353638,0,0
1,user21,0,0.33321807214872157,0,1
1,user21,1,0.501323148856074,1,1
1,user21,0,0.3939194476144225,0,1
1,user21,1,0.6290821048937116,1,1
1,user21,0,0.5977718160701108,1,0
1,user21,1,0.48012848690196747,0,0
1,user21,0,0.7264237128799963,1,0
1,user21,1,0.7777418430372569,1,1
1,user24,0,0.37105658968923444,0,1
1,user24,1,0.6884935839815726,1,1
1,user24,0,0.15677011500184812,0,1
1,user24,1,0.4589191799555796,0,0
1,user24,0,0.3515924165985517,0,1
1,user24,1,0.5051248037067215,1,1
1,user24,0,0.18780425135286105,0,1
1,user24,1,0.3868855536281066,0,0
1,user24,0,0.4839650242314611,0,1
1,user24,1,0.6486470012611534,1,1
1,user24,0,0.19082059874659668,0,1
1,user24,1,0.34420947717728534,0,0
1,user24,0,0.24663963412964726,0,1
1,user24,1,0.5105420434401392,1,1
1,user24,0,0.31699506819935686,0,1
1,user24,1,0.5949112134580123,1,1
1,user24,0,0.3601931617980608,0,1
1,user24,1,0.5165054693465885,1,1
1,user24,0,0.5010015214277818,1,0
1,user24,1,0.7307068630250897,1,1
1,user24,0,0.3450793002206176,0,1
1,user24,1,0.43655999963906533,0,0
